Time(s),Linear(mm)
10.49,0.00127
10.5,0.00148
10.51,0.00144
10.52,0.00139
10.53,0.00185
10.54,0.00121
10.55,0.00117
10.56,0.00179
10.57,0.0014
10.58,0.00161
10.59,0.00145
10.6,0.00106
10.61,0.00153
10.62,0.00163
10.63,0.00145
10.64,0.00171
10.65,0.00115
10.66,0.00126
10.67,0.00189
10.68,0.00147
10.69,0.00145
10.7,0.00133
10.71,0.00124
10.72,0.00184
10.73,0.00147
10.74,0.00101
10.75,0.00165
10.76,0.00145
10.77,0.00143
10.78,0.00165
10.79,0.0013
10.8,0.00165
10.81,0.0016
10.82,0.00107
10.83,0.00164
10.84,0.00162
10.85,0.00126
10.86,0.00158
10.87,0.00127
10.88,0.00144
10.89,0.00174
10.9,0.00123
10.91,0.00157
10.92,0.00169
10.93,0.00116
10.94,0.00156
10.95,0.00154
10.96,0.00148
10.97,0.00173
10.98,0.00103
10.99,0.00128
11,0.00192
11.01,0.00148
11.02,0.00145
11.03,0.00135
11.04,0.00129
11.05,0.00189
11.06,0.00149
11.07,0.00105
11.08,0.0016
11.09,0.00148
11.1,0.00152
11.11,0.00173
11.12,0.00121
11.13,0.00152
11.14,0.00151
11.15,0.00125
11.16,0.00171
11.17,0.00152
11.18,0.00122
11.19,0.00163
11.2,0.00136
11.21,0.00145
11.22,0.00171
11.23,0.0012
11.24,0.00172
11.25,0.00154
11.26,0.00119
11.27,0.00158
11.28,0.0016
11.29,0.00139
11.3,0.00169
11.31,0.00117
11.32,0.00133
11.33,0.00189
11.34,0.00133
11.35,0.00149
11.36,0.00149
11.37,0.00134
11.38,0.00183
11.39,0.00153
11.4,0.00127
11.41,0.00157
11.42,0.00128
11.43,0.00139
11.44,0.0019
11.45,0.00137
11.46,0.00152
11.47,0.00137
11.48,0.00127
11.49,0.00198
11.5,0.00165
11.51,0.00121
11.52,0.00156
11.53,0.00144
11.54,0.0015
11.55,0.0017
11.56,0.00113
11.57,0.00161
11.58,0.00169
11.59,0.00122
11.6,0.00175
11.61,0.00157
11.62,0.00142
11.63,0.00163
11.64,0.00143
11.65,0.00152
11.66,0.0018
11.67,0.00107
11.68,0.00144
11.69,0.0017
11.7,0.00136
11.71,0.00178
11.72,0.00148
11.73,0.0015
11.74,0.0017
11.75,0.0013
11.76,0.00152
11.77,0.00193
11.78,0.00124
11.79,0.00139
11.8,0.0016
11.81,0.00133
11.82,0.00176
11.83,0.0013
11.84,0.00132
11.85,0.0019
11.86,0.00154
11.87,0.00134
11.88,0.00173
11.89,0.00143
11.9,0.00164
11.91,0.00161
11.92,0.00107
11.93,0.00168
11.94,0.00153
11.95,0.0013
11.96,0.00173
11.97,0.00145
11.98,0.00151
11.99,0.00178
12,0.00138
12.01,0.00166
12.02,0.00173
12.03,0.00121
12.04,0.00175
12.05,0.00151
12.06,0.00121
12.07,0.0016
12.08,0.00147
12.09,0.00154
12.1,0.00174
12.11,0.0012
12.12,0.00162
12.13,0.00194
12.14,0.00136
12.15,0.00166
12.16,0.00151
12.17,0.00142
12.18,0.00181
12.19,0.00129
12.2,0.00136
12.21,0.00177
12.22,0.00134
12.23,0.00155
12.24,0.00181
12.25,0.00143
12.26,0.00169
12.27,0.00139
12.28,0.00141
12.29,0.00203
12.3,0.00148
12.31,0.00112
12.32,0.00163
12.33,0.0016
12.34,0.00179
12.35,0.0016
12.36,0.00109
12.37,0.00182
12.38,0.00181
12.39,0.00129
12.4,0.00166
12.41,0.00147
12.42,0.00151
12.43,0.0018
12.44,0.00129
12.45,0.00154
12.46,0.00177
12.47,0.00128
12.48,0.00175
12.49,0.00165
12.5,0.00136
12.51,0.00171
12.52,0.00141
12.53,0.00155
12.54,0.00184
12.55,0.00134
12.56,0.00152
12.57,0.00183
12.58,0.00133
12.59,0.00168
12.6,0.00148
12.61,0.00145
12.62,0.00188
12.63,0.00142
12.64,0.00126
12.65,0.00173
12.66,0.00154
12.67,0.00161
12.68,0.00169
12.69,0.0013
12.7,0.00185
12.71,0.00168
12.72,0.00122
12.73,0.00179
12.74,0.00156
12.75,0.00148
12.76,0.00164
12.77,0.00127
12.78,0.0016
12.79,0.00178
12.8,0.00109
12.81,0.00176
12.82,0.00181
12.83,0.00143
12.84,0.00164
12.85,0.00138
12.86,0.00154
12.87,0.00179
12.88,0.0013
12.89,0.00153
12.9,0.00185
12.91,0.00127
12.92,0.00151
12.93,0.00171
12.94,0.00152
12.95,0.00182
12.96,0.00124
12.97,0.00141
12.98,0.00188
12.99,0.00136
13,0.0014
13.01,0.00173
13.02,0.00144
13.03,0.00167
13.04,0.00162
13.05,0.00129
13.06,0.00192
13.07,0.00141
13.08,0.00143
13.09,0.00182
13.1,0.00139
13.11,0.00138
13.12,0.00157
13.13,0.00139
13.14,0.00181
13.15,0.0016
13.16,0.00114
13.17,0.00189
13.18,0.00162
13.19,0.00154
13.2,0.00169
13.21,0.00133
13.22,0.00165
13.23,0.0017
13.24,0.00122
13.25,0.00158
13.26,0.00164
13.27,0.00134
13.28,0.00188
13.29,0.00151
13.3,0.00147
13.31,0.00174
13.32,0.0013
13.33,0.00168
13.34,0.00184
13.35,0.00132
13.36,0.00146
13.37,0.00163
13.38,0.00141
13.39,0.00182
13.4,0.00135
13.41,0.00133
13.42,0.00193
13.43,0.00144
13.44,0.00154
13.45,0.0016
13.46,0.00141
13.47,0.0018
13.48,0.0016
13.49,0.00118
13.5,0.00175
13.51,0.0015
13.52,0.00141
13.53,0.00186
13.54,0.0013
13.55,0.00161
13.56,0.00168
13.57,0.00134
13.58,0.00171
13.59,0.00157
13.6,0.0012
13.61,0.00182
13.62,0.00161
13.63,0.00146
13.64,0.00159
13.65,0.00118
13.66,0.00182
13.67,0.00194
13.68,0.00124
13.69,0.00147
13.7,0.00151
13.71,0.00149
13.72,0.00184
13.73,0.00142
13.74,0.00135
13.75,0.00181
13.76,0.00125
13.77,0.00161
13.78,0.00184
13.79,0.00139
13.8,0.00157
13.81,0.00154
13.82,0.00143
13.83,0.00185
13.84,0.00143
13.85,0.00124
13.86,0.0019
13.87,0.00145
13.88,0.0016
13.89,0.00166
13.9,0.00132
13.91,0.00161
13.92,0.0015
13.93,0.0013
13.94,0.00187
13.95,0.0015
13.96,0.00123
13.97,0.0017
13.98,0.00141
13.99,0.00182
14,0.00173
14.01,0.0012
14.02,0.00167
14.03,0.00171
14.04,0.00131
14.05,0.00164
14.06,0.00145
14.07,0.0014
14.08,0.0018
14.09,0.00114
14.1,0.0016
14.11,0.00184
14.12,0.00136
14.13,0.00162
14.14,0.00167
14.15,0.00147
14.16,0.00178
14.17,0.00137
14.18,0.00127
14.19,0.00194
14.2,0.00137
14.21,0.00152
14.22,0.00153
14.23,0.00129
14.24,0.00183
14.25,0.00157
14.26,0.00132
14.27,0.00184
14.28,0.00161
14.29,0.0013
14.3,0.00166
14.31,0.00133
14.32,0.00171
14.33,0.00173
14.34,0.00117
14.35,0.00167
14.36,0.00164
14.37,0.00138
14.38,0.0017
14.39,0.00158
14.4,0.00138
14.41,0.00171
14.42,0.00131
14.43,0.00173
14.44,0.00175
14.45,0.00106
14.46,0.00169
14.47,0.00174
14.48,0.00147
14.49,0.00157
14.5,0.00141
14.51,0.0016
14.52,0.00199
14.53,0.00122
14.54,0.00138
14.55,0.00177
14.56,0.0013
14.57,0.00171
14.58,0.00162
14.59,0.00142
14.6,0.00176
14.61,0.00144
14.62,0.00151
14.63,0.00189
14.64,0.00137
14.65,0.00135
14.66,0.00184
14.67,0.00134
14.68,0.00166
14.69,0.00145
14.7,0.00152
14.71,0.00197
14.72,0.00152
14.73,0.00124
14.74,0.00182
14.75,0.00163
14.76,0.00153
14.77,0.00166
14.78,0.00122
14.79,0.00189
14.8,0.0016
14.81,0.00123
14.82,0.0018
14.83,0.00166
14.84,0.00143
14.85,0.00171
14.86,0.00148
14.87,0.00159
14.88,0.00178
14.89,0.0012
14.9,0.00181
14.91,0.00167
14.92,0.00127
14.93,0.00165
14.94,0.0017
14.95,0.00164
14.96,0.00177
14.97,0.0013
14.98,0.00156
14.99,0.0019
15,0.00136
15.01,0.00174
15.02,0.0017
15.03,0.0013
15.04,0.00173
15.05,0.00155
15.06,0.00153
15.07,0.00189
15.08,0.00136
15.09,0.00152
15.1,0.00189
15.11,0.00141
15.12,0.00165
15.13,0.00163
15.14,0.00137
15.15,0.00194
15.16,0.00159
15.17,0.00137
15.18,0.00166
15.19,0.00157
15.2,0.00174
15.21,0.00186
15.22,0.00121
15.23,0.00167
15.24,0.00183
15.25,0.00136
15.26,0.00172
15.27,0.00158
15.28,0.0016
15.29,0.00187
15.3,0.00134
15.31,0.00158
15.32,0.002
15.33,0.00141
15.34,0.00157
15.35,0.00164
15.36,0.00137
15.37,0.00186
15.38,0.00151
15.39,0.00139
15.4,0.00193
15.41,0.00159
15.42,0.00155
15.43,0.00186
15.44,0.00144
15.45,0.00175
15.46,0.00171
15.47,0.00133
15.48,0.00187
15.49,0.00152
15.5,0.0013
15.51,0.00179
15.52,0.00158
15.53,0.00163
